Cidade,Estado,ID,Latitude,Longitude,Amazonia,Parcela da população sem acesso à água,Parcela da população com acesso à água,População com acesso à água,População sem acesso à água,Parcela da população sem coleta de esgoto,Parcela da população com coleta de esgoto,População com coleta de esgoto,População sem coleta de esgoto,Parcela das moradias sem banheiro,Parcela das moradias com banheiro,Moradias com banheiro,Moradias sem banheiro,Percentagem da população branca sem acesso à água,Percentagem da população preta sem acesso à água,Percentagem da população amarela sem acesso à água,Percentagem da população parda sem acesso à água,Percentagem da população indígena sem acesso à água,Percentagem da população branca sem acesso à coleta de esgoto,Percentagem da população preta sem acesso à coleta de esgoto,Percentagem da população amarela sem acesso à coleta de esgoto,Percentagem da população parda sem acesso à coleta de esgoto,Percentagem da população indígena sem acesso à coleta de esgoto,Incidência de internações por diarreia,Internações por diarreia,Internações por doenças de veiculação hídrica,Incidência de internações totais por doenças de veiculação hídrica,Óbitos por doenças de veiculação hídrica,Taxa de óbitos por doenças de veiculação hídrica,Despesas com internações por doenças de veiculação hídrica,Internações por doenças respiratórias,Incidência de internações por doenças respiratórias,Óbitos por doenças respiratórias,Incidência de óbitos por doenças respiratórias,Consumo per capita de água,Índice de esgoto tratado referido à água consumida,Perdas na distribuição,Perdas no faturamento,Extensão da rede de água,Extensão da rede de esgoto,"Investimentos totais, em R$ de 2022","Investimentos per capita, em R$ de 2022",Despesas per capita com saneamento,Tarifa de água,Tarifa de coleta de esgoto,Densidade demográfica,Densidade domiciliar,População,Área do município
Careiro da Várzea,Amazonas,130115,-3.197024,-59.8259104,Sim,0.972,0.028,549,19088,1,0,0,19637,0.213,0.787,4549,1231,0.753,0.811,0.667,0.807,0.841,0.994,0.99,,0.993,,2.037,4,,2.037,0,0,1495.78,17,8.657,2,1.018,20.93,0,0.7,0.124,8.72,,0,0,15.77,0.56,,7.47,3.4,19637,2627.474
Coari,Amazonas,130120,-4.0885957,-63.1431166,Sim,0.841,0.159,11246,59370,1,0,0,70616,0.183,0.817,14349,3215,0.788,0.821,0.756,0.817,0.913,0.628,0.691,0.476,0.69,0.856,12.32,87,,16.71,0,0,43604.99,364,51.546,34,4.815,15.7,0,0.111,0.196,101,,0,0,12.88,2.35,,1.22,4.02,70616,57970.768
Humaitá,Amazonas,130170,-7.5099404,-63.0248674,Sim,0.005,0.995,57195,278,1,0,0,57473,0.1383,0.8617,12422,1994,0.232,0.225,0.246,0.298,0.595,0.871,0.874,0.82,0.891,0.969,5.22,30,,13.92,3,0.522,25443.75,251,43.673,26,4.524,106.1,0,0.682,0.682,105,,0,0,48.03,1.24,,1.74,3.99,57473,33111.164
Iranduba,Amazonas,130185,-3.2758203,-60.1867429,Sim,0.418,0.582,35610,25553,1,0,0,61163,0.0632,0.9368,16635,1122,0.485,0.514,0.597,0.466,0.558,0.954,0.971,0.952,0.961,0.946,9.483,58,,10.954,0,0,33678.51,258,42.182,15,2.452,69.88,0,0.096,0.096,75,,0,0,25.81,3.42,,27.59,3.44,61163,2216.817
Itacoatiara,Amazonas,130190,-3.1477898,-58.4461041,Sim,0.413,0.587,60856,42742,1,0,0,103598,0.0775,0.9225,25521,2143,0.211,0.322,0.243,0.313,0.762,0.912,0.923,0.907,0.919,0.974,6.081,63,,6.371,2,0.193,22495.25,490,47.298,32,3.089,333,0,0.245,0.799,280.8,,345289.6,3.33,48.12,1.49,,11.65,3.74,103598,8891.906
Manacapuru,Amazonas,130250,-3.2996768,-60.6213528,Sim,0.097,0.903,92000,9883,1,0,0,101883,0.0885,0.9115,24504,2379,0.393,0.427,0.458,0.479,0.584,0.84,0.881,0.729,0.877,0.918,20.612,210,,21.103,2,0.196,84558.07,536,52.609,27,2.65,43.03,0,0.048,0.048,1825.3,,0,0,48.27,2.56,,13.89,3.79,101883,7336.579
Manaus,Amazonas,130260,-3.1316333,-59.9825041,Sim,0.005,0.995,2053105,10584,0.739,0.261,538324,1525365,0.0091,0.9909,624332,5730,0.254,0.233,0.379,0.222,0.364,0.47,0.523,0.412,0.52,0.655,6.968,1438,,8.092,26,0.126,1018692.76,6162,29.859,491,2.379,133.84,0.218,0.554,0.598,4091.54,816.14,224269326.36,108.67,356.03,6.49,6.13,181.01,3.28,2063689,11401.092
Manicoré,Amazonas,130270,-5.804618,-61.289483,Sim,0.521,0.479,25804,28110,1,0,0,53914,0.276,0.724,8811,3359,0.508,0.519,0.386,0.556,0.745,0.986,0.979,,0.992,0.994,13.169,71,,14.653,0,0,25878.23,171,31.717,13,2.411,204.18,0,0.193,0.193,80,,0,0,13.4,0.12,,1.12,4.43,53914,48315.022
Maués,Amazonas,130290,-3.3795798,-57.7196072,Sim,0.506,0.494,30249,30955,0.791,0.209,12800,48404,0.345,0.655,8692,4579,0.265,0.362,0.235,0.453,0.791,0.757,0.791,0.676,0.829,0.986,27.122,166,,27.613,4,0.654,60724.03,324,52.938,20,3.268,107,0,0.469,0.654,120,30,7910880,129.25,40.95,1.61,,1.53,4.61,61204,39991.067
Novo Airão,Amazonas,130320,-2.6260236,-60.9434406,Sim,0,1,15761,0,1,0,0,15761,0.1998,0.8002,3333,832,0.168,0.389,0.333,0.228,0.699,0.825,0.929,0.917,0.89,0.966,2.538,4,,11.421,0,0,5604.88,66,41.876,0,0,293.56,0,0.12,0.12,78.75,,709477.35,45.01,50.29,0.46,,0.42,3.78,15761,37805.257
