Cidade,Estado,ID,Latitude,Longitude,Amazonia
Boa Viagem,Ceará,230240,-5.1261877,-39.7300055,Não
Camocim,Ceará,230260,-2.9009918,-40.8427389,Não
Canindé,Ceará,230280,-4.3547946,-39.3108516,Não
Cascavel,Ceará,230350,-4.129666,-38.241178,Não
Caucaia,Ceará,230370,-3.7300563,-38.6593082,Não
Chorozinho,Ceará,230395,-4.3010895,-38.4976923,Não
Crateús,Ceará,230410,-5.1782451,-40.6696545,Não
Crato,Ceará,230420,-7.2369112,-39.4149236,Não
Eusébio,Ceará,230428,-3.8889838,-38.4546585,Não
Fortaleza,Ceará,230440,-3.7304512,-38.5217989,Não
Granja,Ceará,230470,-3.1212057,-40.8284124,Não
Guaiúba,Ceará,230495,-4.0412656,-38.6369079,Não
Horizonte,Ceará,230523,-4.0964618,-38.4965574,Não
Icó,Ceará,230540,-6.4003992,-38.8575946,Não
Iguatu,Ceará,230550,-6.361934,-39.2972233,Não
Itaitinga,Ceará,230625,-3.965768,-38.529763,Não
Itapajé,Ceará,230630,-3.6841324,-39.5851265,Não
Itapipoca,Ceará,230640,-3.4960586,-39.5819197,Não
Juazeiro do Norte,Ceará,230730,-7.2153453,-39.3153336,Não
Limoeiro do Norte,Ceará,230760,-5.1455607,-38.0984936,Não
Maracanaú,Ceará,230765,-3.8779438,-38.6247697,Não
Maranguape,Ceará,230770,-3.8922967,-38.6835427,Não
Morada Nova,Ceará,230870,-5.1076699,-38.3727852,Não
Pacajus,Ceará,230960,-4.171073,-38.464988,Não
Pacatuba,Ceará,230970,-3.9841,-38.6180383,Não
Pindoretama,Ceará,231085,-4.0265183,-38.3066829,Não
Quixadá,Ceará,231130,-4.9706021,-39.0158403,Não
Quixeramobim,Ceará,231140,-5.1983553,-39.2955573,Não
Russas,Ceará,231180,-4.9354279,-37.9783838,Não
São Gonçalo do Amarante,Ceará,231240,-3.6099755,-38.9687182,Não
Sobral,Ceará,231290,-3.6879135,-40.3456372,Não
Tauá,Ceará,231330,-6.0031372,-40.2947268,Não
Tianguá,Ceará,231340,-3.7307332,-41.0004019,Não
Trairi,Ceará,231350,-3.2777494,-39.2680677,Não
Viçosa do Ceará,Ceará,231410,-3.5667684,-41.091504,Não
Brasília,Distrito Federal,530010,-15.7939869,-47.8828,Não
Aracruz,Espírito Santo,320060,-19.8245218,-40.2735025,Não
Cachoeiro de Itapemirim,Espírito Santo,320120,-20.848084,-41.11129,Não
Cariacica,Espírito Santo,320130,-20.263202,-40.416549,Não
Colatina,Espírito Santo,320150,-19.5346732,-40.6287836,Não
Fundão,Espírito Santo,320220,-19.9532531,-40.3779176,Não
Guarapari,Espírito Santo,320240,-20.6718755,-40.4984617,Não
Linhares,Espírito Santo,320320,-19.341076,-39.9483354,Não
São Mateus,Espírito Santo,320490,-18.7146049,-39.8539499,Não
Serra,Espírito Santo,320500,-20.1252961,-40.3064477,Não
Viana,Espírito Santo,320510,-20.3914471,-40.4966587,Não
Vila Velha,Espírito Santo,320520,-20.3297037,-40.2920174,Não
Vitória,Espírito Santo,320530,-20.3200917,-40.3376682,Não
Abadia de Goiás,Goiás,520005,-16.7584,-49.4383,Não
Águas Lindas de Goiás,Goiás,520025,-15.7392283,-48.2793357,Não
Anápolis,Goiás,520110,-16.3332828,-48.9525756,Não
Aparecida de Goiânia,Goiás,520140,-16.8226769,-49.2452546,Não
Aragoiânia,Goiás,520180,-16.9146388,-49.4499148,Não
Bela Vista de Goiás,Goiás,520330,-16.9692949,-48.9513071,Não
Bonfinópolis,Goiás,520355,-16.6172709,-48.9615701,Não
Brazabrantes,Goiás,520360,-16.4291635,-49.3858216,Não
Caldas Novas,Goiás,520450,-17.745,-48.625,Não
Caldazinha,Goiás,520455,-16.7116649,-49.0012601,Não
Catalão,Goiás,520510,-18.1702546,-47.9447082,Não
Caturaí,Goiás,520520,-16.4473559,-49.4919149,Não
Cidade Ocidental,Goiás,520549,-16.1000758,-47.9445014,Não
Cristalina,Goiás,520620,-16.7680599,-47.6133427,Não
Formosa,Goiás,520800,-15.5492443,-47.3301212,Não
Goianápolis,Goiás,520840,-16.5071038,-49.0213217,Não
Goianésia,Goiás,520860,-15.3118269,-49.1162001,Não
Goiânia,Goiás,520870,-16.680882,-49.2532691,Não
Goianira,Goiás,520880,-16.5001973,-49.4254788,Não
Guapó,Goiás,520920,-16.8308602,-49.5343721,Não
Hidrolândia,Goiás,520970,-16.9671342,-49.22826,Não
Inhumas,Goiás,521000,-16.3610569,-49.500111,Não
Itumbiara,Goiás,521150,-18.4135862,-49.2172596,Não
Jataí,Goiás,521190,-17.8856178,-51.7202967,Não
Luziânia,Goiás,521250,-16.2535456,-47.9500276,Não
Mineiros,Goiás,521310,-17.5653879,-52.5536721,Não
Nerópolis,Goiás,521450,-16.4069816,-49.219438,Não
Nova Veneza,Goiás,521500,-16.3709074,-49.3212061,Não
Novo Gama,Goiás,521523,-16.0496528,-48.0304615,Não
Planaltina,Goiás,521760,-15.4571536,-47.6089024,Não
Rio Verde,Goiás,521880,-17.7921255,-50.9191219,Não
Santo Antônio de Goiás,Goiás,521973,-16.4861723,-49.3093885,Não
Santo Antônio do Descoberto,Goiás,521975,-15.9465415,-48.2616527,Não
Senador Canedo,Goiás,522045,-16.7013233,-49.0914921,Não
Terezópolis de Goiás,Goiás,522119,-16.4837865,-49.0949299,Não
Trindade,Goiás,522140,-16.6549924,-49.4876203,Não
Valparaíso de Goiás,Goiás,522185,-16.0686394,-47.9764907,Não
Açailândia,Maranhão,210005,-4.9515026,-47.500732,Sim
Alcântara,Maranhão,210020,-2.4084996,-44.4174143,Sim
Bacabal,Maranhão,210120,-4.2318132,-44.781167,Sim
Balsas,Maranhão,210140,-7.53214,-46.037163,Sim
Barra do Corda,Maranhão,210160,-5.496823,-45.248496,Sim
Barreirinhas,Maranhão,210170,-2.7541271,-42.8259693,Não
Buriticupu,Maranhão,210232,-4.3227472,-46.4516989,Sim
Caxias,Maranhão,210300,-4.8654201,-43.353664,Não
Chapadinha,Maranhão,210320,-3.7416803,-43.3548006,Não
Codó,Maranhão,210330,-4.455623,-43.892354,Sim
Coroatá,Maranhão,210360,-4.1282283,-44.1360269,Sim
Grajaú,Maranhão,210480,-5.8154034,-46.1361454,Sim
Imperatriz,Maranhão,210530,-5.5269279,-47.478115,Sim
Itapecuru Mirim,Maranhão,210540,-3.3973569,-44.3560724,Sim
Paço do Lumiar,Maranhão,210750,-2.5329055,-44.1591965,Sim
Pinheiro,Maranhão,210860,-2.5270459,-45.0866463,Sim
Raposa,Maranhão,210945,-2.4410095,-44.1104256,Sim
Santa Inês,Maranhão,210990,-3.6647821,-45.3826869,Sim
Santa Luzia,Maranhão,211000,-3.9633675,-45.6637956,Sim
São José de Ribamar,Maranhão,211120,-2.5609115,-44.0559509,Sim
São Luís,Maranhão,211130,-2.5295265,-44.2963942,Sim
Timon,Maranhão,211220,-5.1004341,-42.8312018,Não
Tutóia,Maranhão,211250,-2.761413,-42.275531,Não
Vargem Grande,Maranhão,211270,-3.5443611,-43.9149128,Sim
Viana,Maranhão,211280,-3.2099341,-45.0002456,Sim
Zé Doca,Maranhão,211400,-3.270145,-45.655344,Sim
Alta Floresta,Mato Grosso,510025,-9.8698547,-56.0834993,Sim
Barão de Melgaço,Mato Grosso,510160,-16.1956788,-55.9668317,Sim
Barra do Garças,Mato Grosso,510180,-15.8916033,-52.2615413,Sim
Cáceres,Mato Grosso,510250,-16.0644068,-57.6878972,Sim
Chapada dos Guimarães,Mato Grosso,510300,-15.464343,-55.749857,Sim
Cuiabá,Mato Grosso,510340,-15.5986686,-56.0991301,Sim
Jangada,Mato Grosso,510490,-15.2369949,-56.4902844,Sim
Lucas do Rio Verde,Mato Grosso,510525,-13.0664609,-55.9196711,Sim
Nossa Senhora do Livramento,Mato Grosso,510610,-15.7724354,-56.3435003,Sim
Nova Brasilândia,Mato Grosso,510620,-14.9298622,-54.973665,Sim
Planalto da Serra,Mato Grosso,510645,-14.6627994,-54.7756232,Sim
Poconé,Mato Grosso,510650,-16.2578606,-56.633926,Sim
Primavera do Leste,Mato Grosso,510704,-15.5614127,-54.2993946,Sim
Rondonópolis,Mato Grosso,510760,-16.4603533,-54.6397099,Sim
Rosário Oeste,Mato Grosso,510770,-14.825938,-56.42357,Sim
Santo Antônio do Leverger,Mato Grosso,510780,-15.859843,-56.0789707,Sim
Sinop,Mato Grosso,510790,-11.857701,-55.4967824,Sim
Sorriso,Mato Grosso,510792,-12.5444887,-55.7233972,Sim
Tangará da Serra,Mato Grosso,510795,-14.6213903,-57.4907268,Sim
Várzea Grande,Mato Grosso,510840,-15.645816,-56.132218,Sim
Campo Grande,Mato Grosso do Sul,500270,-20.4640173,-54.6162947,Não
Corumbá,Mato Grosso do Sul,500320,-19.0016365,-57.6534316,Não
Dourados,Mato Grosso do Sul,500370,-22.2206145,-54.812208,Não
Naviraí,Mato Grosso do Sul,500570,-23.0622152,-54.2018319,Não
Nova Andradina,Mato Grosso do Sul,500620,-22.2477565,-53.3480621,Não
Ponta Porã,Mato Grosso do Sul,500660,-22.5286917,-55.723426,Não
Sidrolândia,Mato Grosso do Sul,500790,-20.9361042,-54.9640262,Não
Três Lagoas,Mato Grosso do Sul,500830,-20.7866799,-51.7061247,Não
Alfenas,Minas Gerais,310160,-21.4297405,-45.9479419,Não
Araguari,Minas Gerais,310350,-18.6511256,-48.1933764,Não
Araxá,Minas Gerais,310400,-19.6009149,-46.940923,Não
Baldim,Minas Gerais,310500,-19.2913568,-43.9558262,Não
Barão de Cocais,Minas Gerais,310540,-19.9452437,-43.4870298,Não
Barbacena,Minas Gerais,310560,-21.2254524,-43.7735087,Não
Belo Horizonte,Minas Gerais,310620,-19.9227318,-43.9450948,Não
Belo Vale,Minas Gerais,310640,-20.407778,-44.024167,Não
Betim,Minas Gerais,310670,-19.968056,-44.198333,Não
Bom Despacho,Minas Gerais,310740,-19.7375242,-45.2517288,Não
Bonfim,Minas Gerais,310810,-20.3266626,-44.2386157,Não
Brumadinho,Minas Gerais,310900,-20.143611,-44.2,Não
Caeté,Minas Gerais,311000,-19.897777,-43.670278,Não
Campo Belo,Minas Gerais,311120,-20.8975,-45.277223,Não
Capim Branco,Minas Gerais,311250,-19.548333,-44.133056,Não
Caratinga,Minas Gerais,311340,-19.7900887,-42.140533,Não
Cataguases,Minas Gerais,311530,-21.387426,-42.6957219,Não
Confins,Minas Gerais,311787,-19.6278749,-43.9912311,Não
Congonhas,Minas Gerais,311800,-20.5015168,-43.8564586,Não
Conselheiro Lafaiete,Minas Gerais,311830,-20.6596107,-43.785743,Não
Contagem,Minas Gerais,311860,-19.9132749,-44.0840953,Não
Coronel Fabriciano,Minas Gerais,311940,-19.5200067,-42.6282686,Não
Curvelo,Minas Gerais,312090,-18.7571926,-44.4305993,Não
Divinópolis,Minas Gerais,312230,-20.1597921,-44.8739341,Não
Esmeraldas,Minas Gerais,312410,-19.7613111,-44.3145945,Não
Florestal,Minas Gerais,312600,-19.8878705,-44.4314766,Não
Formiga,Minas Gerais,312610,-20.4648425,-45.4266753,Não
Fortuna de Minas,Minas Gerais,312640,-19.561662,-44.4451854,Não
Frutal,Minas Gerais,312710,-20.0220064,-48.9280076,Não
Funilândia,Minas Gerais,312720,-19.3711961,-44.0599481,Não
Governador Valadares,Minas Gerais,312770,-18.8698882,-41.9459383,Não
Guaxupé,Minas Gerais,312870,-21.3087615,-46.7190609,Não
Ibirité,Minas Gerais,312980,-20.0214251,-44.0621506,Não
Igarapé,Minas Gerais,313010,-20.068789,-44.3017439,Não
Inhaúma,Minas Gerais,313100,-19.490277,-44.389166,Não
Ipatinga,Minas Gerais,313130,-19.4777807,-42.5270802,Não
Itabira,Minas Gerais,313170,-19.6190169,-43.226248,Não
Itabirito,Minas Gerais,313190,-20.2519724,-43.8029171,Não
Itaguara,Minas Gerais,313220,-20.391389,-44.488055,Não
Itajubá,Minas Gerais,313240,-22.4238234,-45.4524156,Não
Itatiaiuçu,Minas Gerais,313370,-20.1975724,-44.4224889,Não
Itaúna,Minas Gerais,313380,-20.075556,-44.576389,Não
